"75-3000
TOTAL",Location,"Coordinates (Latitude,Longtitude)"
0.581,Α06.13.11.2010-COSMOTE_PIKERMI,"38.005348168613004, 23.880023928608885"
0.604,Α06.13.11.2010-COSMOTE_PIKERMI,"38.005348168613004, 23.880023928608885"
0.658,Α06.13.11.2010-COSMOTE_PIKERMI,"38.005348168613004, 23.880023928608885"
1.672,Α07.28.12.2010-COSMOTE_ANO-LIOSIA,"38.08060841875776, 23.73733592187262"
3.805,Α07.28.12.2010-COSMOTE_ANO-LIOSIA,"38.08060841875776, 23.73733592187262"
5.478,Α07.28.12.2010-COSMOTE_ANO-LIOSIA,"38.08060841875776, 23.73733592187262"
5.836,Α07.28.12.2010-COSMOTE_ANO-LIOSIA,"38.08060841875776, 23.73733592187262"
3.307,Α07.28.12.2010-COSMOTE_ANO-LIOSIA,"38.08060841875776, 23.73733592187262"
0.746,Α07.28.12.2010-COSMOTE_ANO-LIOSIA,"38.08060841875776, 23.73733592187262"
1.117,Α07.28.12.2010-COSMOTE_ANO-LIOSIA,"38.08060841875776, 23.73733592187262"
0.653,A02.23.02.2011-COSMOTE_MARATHONOS,"38.023210717200385, 23.802600695537556"
0.783,A02.23.02.2011-COSMOTE_MARATHONOS,"38.023210717200385, 23.802600695537556"
1.006,A02.23.02.2011-COSMOTE_MARATHONOS,"38.023210717200385, 23.802600695537556"
3.051,A08.23.07.2015 - COSMOTE PATRA SB BETSOU,"38.24825073641069, 21.731074176061398"
2.102,A08.23.07.2015 - COSMOTE PATRA SB BETSOU,"38.24825073641069, 21.731074176061398"
1.038,A08.23.07.2015 - COSMOTE PATRA SB BETSOU,"38.24825073641069, 21.731074176061398"
1.008,A08.23.07.2015 - COSMOTE PATRA SB BETSOU,"38.24825073641069, 21.731074176061398"
0.798,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
0.824,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
0.213,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
3.387,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
1.049,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
0.488,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
0.388,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
0.277,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
1.197,A13.30.11.2015 - COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
