Total_Radiation(75-3000Hz),Location_Name,Coordinates
5.836,COSMOTE_ANO-LIOSIA,"38.08060841875776, 23.73733592187262"
3.307,COSMOTE_ANO-LIOSIA,"38.08060841875776, 23.73733592187262"
0.746,COSMOTE_ANO-LIOSIA,"38.08060841875776, 23.73733592187262"
1.117,COSMOTE_ANO-LIOSIA,"38.08060841875776, 23.73733592187262"
0.653,COSMOTE_MARATHONOS,"38.023210717200385, 23.802600695537556"
0.783,COSMOTE_MARATHONOS,"38.023210717200385, 23.802600695537556"
1.006,COSMOTE_MARATHONOS,"38.023210717200385, 23.802600695537556"
3.051,COSMOTE PATRA SB BETSOU,"38.24825073641069, 21.731074176061398"
2.102,COSMOTE PATRA SB BETSOU,"38.24825073641069, 21.731074176061398"
1.038,COSMOTE PATRA SB BETSOU,"38.24825073641069, 21.731074176061398"
1.008,COSMOTE PATRA SB BETSOU,"38.24825073641069, 21.731074176061398"
0.798,COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
0.824,COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
0.213,COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
3.387,COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
1.049,COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
0.488,COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
0.388,COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
0.277,COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
1.197,COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
0.235,COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
7.012,COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
0.461,COSMOTE ELEYSINA,"38.04783198043425, 23.542635826037642"
1.129,COSMOTE KIFISIA,"38.074185565464425, 23.814334330200708"
0.545,COSMOTE KIFISIA,"38.074185565464425, 23.814334330200708"
0.617,COSMOTE KIFISIA,"38.074185565464425, 23.814334330200708"
0.529,COSMOTE KIFISIA,"38.074185565464425, 23.814334330200708"
0.353,COSMOTE PAXOI,"39.197375131207885, 20.185988952999427"
0.408,COSMOTE PAXOI,"39.197375131207885, 20.185988952999427"
0.348,COSMOTE PAXOI,"39.197375131207885, 20.185988952999427"
0.342,COSMOTE PAXOI,"39.197375131207885, 20.185988952999427"
0.341,COSMOTE PAXOI,"39.197375131207885, 20.185988952999427"
0.421,COSMOTE KERKYRA,"39.62129663207323, 19.92115635205514"
0.372,COSMOTE KERKYRA,"39.62129663207323, 19.92115635205514"
0.369,COSMOTE KERKYRA,"39.62129663207323, 19.92115635205514"
0.429,COSMOTE KERKYRA,"39.62129663207323, 19.92115635205514"
4.542,COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
2.602,COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
0.505,COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
1.983,COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
0.667,COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
0.266,COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
0.205,COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
0.351,COSMOTE KALAMATA,"37.12625873345525, 22.315547338314445"
1.953,COSMOTE SAMI,"38.244920083432525, 20.503448687284763"
2.181,COSMOTE SAMI,"38.244920083432525, 20.503448687284763"
1.113,COSMOTE SAMI,"38.244920083432525, 20.503448687284763"
1.232,COSMOTE SAMI,"38.244920083432525, 20.503448687284763"
0.493,COSMOTE SAMI,"38.244920083432525, 20.503448687284763"
0.871,COSMOTE SAMI,"38.244920083432525, 20.503448687284763"
