Total_Radiation(75-3000Hz),Location_Code_Name,Latitude,Longitude
0.599,1,37.94133585,23.73162403
0.953,1,37.94133585,23.73162403
0.7,1,37.94133585,23.73162403
0.604,1,37.94133585,23.73162403
0.501,1,37.94133585,23.73162403
0.961,2,38.44400625,22.87980267
1.785,2,38.44400625,22.87980267
1.096,2,38.44400625,22.87980267
1.116,2,38.44400625,22.87980267
0.989,2,38.44400625,22.87980267
1.251,2,38.44400625,22.87980267
3.424,2,38.44400625,22.87980267
1.846,2,38.44400625,22.87980267
0.582,2,38.44400625,22.87980267
0.288,3,38.01314549,23.82243669
0.756,3,38.01314549,23.82243669
0.273,3,38.01314549,23.82243669
0.276,3,38.01314549,23.82243669
0.302,3,38.01314549,23.82243669
0.328,3,38.01314549,23.82243669
0.279,3,38.01314549,23.82243669
0.66,4,38.00906969,23.87760732
1.21,4,38.00906969,23.87760732
1.329,4,38.00906969,23.87760732
1.212,4,38.00906969,23.87760732
0.907,4,38.00906969,23.87760732
1.084,4,38.00906969,23.87760732
0.486,4,38.00906969,23.87760732
0.481,4,38.00906969,23.87760732
0.425,4,38.00906969,23.87760732
0.425,4,38.00906969,23.87760732
0.405,5,37.93036906,23.70272438
1.21,5,37.93036906,23.70272438
0.747,5,37.93036906,23.70272438
0.573,5,37.93036906,23.70272438
0.649,5,37.93036906,23.70272438
2.607,6,37.98099518,23.7321685
0.399,6,37.98099518,23.7321685
0.292,6,37.98099518,23.7321685
0.556,7,37.94234975,23.73103924
0.666,7,37.94234975,23.73103924
0.722,7,37.94234975,23.73103924
1.303,7,37.94234975,23.73103924
1.468,7,37.94234975,23.73103924
1.167,7,37.94234975,23.73103924
0.302,7,37.94234975,23.73103924
0.247,7,37.94234975,23.73103924
0.328,7,37.94234975,23.73103924
0.305,7,37.94234975,23.73103924
0.636,7,37.94234975,23.73103924
1.249,7,37.94234975,23.73103924
1.001,8,38.05015668,23.80896662
0.499,8,38.05015668,23.80896662
0.409,8,38.05015668,23.80896662
0.343,8,38.05015668,23.80896662
0.725,8,38.05015668,23.80896662
0.442,8,38.05015668,23.80896662
0.471,8,38.05015668,23.80896662
1.453,8,38.05015668,23.80896662
0.587,8,38.05015668,23.80896662
0.374,9,38.02497116,23.95512851
1.156,9,38.02497116,23.95512851
1.446,9,38.02497116,23.95512851
1.164,9,38.02497116,23.95512851
0.752,9,38.02497116,23.95512851
0.566,9,38.02497116,23.95512851
1.573,9,38.02497116,23.95512851
0.581,10,38.00534817,23.88002393
0.604,10,38.00534817,23.88002393
0.658,10,38.00534817,23.88002393
1.672,11,38.08060842,23.73733592
3.805,11,38.08060842,23.73733592
5.478,11,38.08060842,23.73733592
5.836,11,38.08060842,23.73733592
3.307,11,38.08060842,23.73733592
0.746,11,38.08060842,23.73733592
1.117,11,38.08060842,23.73733592
0.653,12,38.02321072,23.8026007
0.783,12,38.02321072,23.8026007
1.006,12,38.02321072,23.8026007
3.051,13,38.24825074,21.73107418
2.102,13,38.24825074,21.73107418
1.038,13,38.24825074,21.73107418
1.008,13,38.24825074,21.73107418
